,"isbn","match","isbn","shelf","shelfplace"
0,3201016780,"notfound",3201016780,"4A",1
60,9780553370904,"found",9780553370904,"4A",3
1,9782711823642,"notfound",9782711823642,"4A",6
2,2855397359,"notfound",2855397359,"4A",7
3,9781851774296,"notfound",9781851774296,"4A",8
4,7560710077,"notfound",7560710077,"4A",9
5,9787228032488,"notfound",9787228032488,"4A",10
6,9782220026299,"notfound",9782220026299,"4A",11
61,9780714121802,"found",9780714121802,"4A",12
62,9780813380650,"found",9780813380650,"4A",13
63,9780810981034,"found",9780810981034,"4A",14
7,9781904832164,"notfound",9781904832164,"4A",16
64,9780907849520,"found",9780907849520,"4A",18
65,9780521533386,"found",9780521533386,"4A",19
66,9789748225302,"found",9789748225302,"4A",20
67,9789748225302,"found",9789748225302,"4A",20
8,9748434575,"notfound",9748434575,"4A",21
68,9780811800402,"found",9780811800402,"4A",24
9,3761106262,"notfound",3761106262,"4A",25
10,9782842782177,"notfound",9782842782177,"4A",26
11,9782842782177,"notfound",9782842782177,"4A",26
69,9780252071218,"found",9780252071218,"4A",28
12,9781570621864,"notfound",9781570621864,"4A",31
13,9780500275160,"notfound",9780500275160,"4A",33
14,9782080113603,"notfound",9782080113603,"4A",34
70,9781588861146,"found",9781588861146,"4A",41
71,9780860787662,"found",9780860787662,"4A",43
72,9780674116733,"found",9780674116733,"4B",1
15,9789622174580,"notfound",9789622174580,"4B",2
16,9622174582,"notfound",9622174582,"4B",2
73,3805311877,"found",3805311877,"4B",3
17,3886093271,"notfound",3886093271,"4B",4
74,8120806166,"found",8120806166,"4B",5
75,"388609135X","found","388609135X","4B",6
76,9780521255233,"found",9780521255233,"4B",8
77,9789676530752,"found",9789676530752,"4B",9
78,9676530751,"found",9676530751,"4B",9
79,9813002700,"found",9813002700,"4B",10
80,9780714124643,"found",9780714124643,"4B",11
18,9748496317,"notfound",9748496317,"4B",12
19,9789748496313,"notfound",9789748496313,"4B",12
81,9780810928534,"found",9780810928534,"4B",13
20,3763020039,"notfound",3763020039,"4B",14
82,9780615488820,"found",9780615488820,"4B",15
83,9780521565059,"found",9780521565059,"4B",16
21,9780500277126,"notfound",9780500277126,"4B",17
22,1870076141,"notfound",1870076141,"4B",18
23,9781870076142,"notfound",9781870076142,"4B",18
24,9780714128252,"notfound",9780714128252,"4B",19
25,9780714150796,"notfound",9780714150796,"4B",20
26,3886091368,"notfound",3886091368,"4B",21
84,9780192842077,"found",9780192842077,"4B",22
27,9781846032738,"notfound",9781846032738,"4B",25
85,2711841073,"found",2711841073,"4B",26
86,9782711841073,"found",9782711841073,"4B",26
87,9780300155662,"found",9780300155662,"4B",27
28,1850437467,"notfound",1850437467,"4B",28
29,9781850437468,"notfound",9781850437468,"4B",28
30,2080103598,"notfound",2080103598,"4B",29
31,9782080103598,"notfound",9782080103598,"4B",29
88,9780892362202,"found",9780892362202,"4B",30
32,9782711856268,"notfound",9782711856268,"4B",31
89,"029597253X","found","029597253X","4C",1
33,9782918207016,"notfound",9782918207016,"4C",6
34,9760824820024,"notfound",9760824820024,"4C",8
35,7501001537,"notfound",7501001537,"4C",11
36,9787501001538,"notfound",9787501001538,"4C",11
90,9780691037585,"found",9780691037585,"4C",12
37,3952091715,"notfound",3952091715,"4C",14
91,"390707078X","found","390707078X","4C",19
38,9004039384,"notfound",9004039384,"4C",20
39,9004039392,"notfound",9004039392,"4C",20
40,9004039384,"notfound",9004039384,"4C",20
41,9004039384,"notfound",9004039384,"4C",21
42,9004039384,"notfound",9004039384,"4C",21
43,9004039406,"notfound",9004039406,"4C",21
92,9780415320900,"found",9780415320900,"4C",22
93,9622012795,"found",9622012795,"4C",24
94,2708405861,"found",2708405861,"5C",7
95,9782708405868,"found",9782708405868,"5C",7
96,9782711857319,"found",9782711857319,"Cart-a",1
44,9782754106207,"notfound",9782754106207,"Cart-a",2
45,1588390721,"notfound",1588390721,"Cart-a",3
46,9782842782177,"notfound",9782842782177,"Cart-a",4
47,9782842782177,"notfound",9782842782177,"Cart-a",4
48,9782855394237,"notfound",9782855394237,"Cart-a",5
49,2855394236,"notfound",2855394236,"Cart-a",6
50,9785938930506,"notfound",9785938930506,"Cart-a",8
97,9781891771255,"found",9781891771255,"Cart-a",9
98,9780910407397,"found",9780910407397,"Cart-a",10
99,9780939117673,"found",9780939117673,"Cart-a",11
100,9780911886535,"found",9780911886535,"Cart-a",12
101,9789748225302,"found",9789748225302,"Cart-a",16
102,9789748225302,"found",9789748225302,"Cart-a",16
103,9780761816713,"found",9780761816713,"Cart-a",18
104,9780140443486,"found",9780140443486,"Cart-a",19
105,9780140443066,"found",9780140443066,"Cart-a",20
51,9780192835765,"notfound",9780192835765,"Cart-a",21
52,9780195659122,"notfound",9780195659122,"Cart-a",23
53,8190014900,"notfound",8190014900,"Cart-a",24
106,2720010316,"found",2720010316,"Cart-a",26
54,9780862671501,"notfound",9780862671501,"Cart-a",27
55,9782070532551,"notfound",9782070532551,"Cart-a",28
56,8121507235,"notfound",8121507235,"Cart-a",30
57,9783869221878,"notfound",9783869221878,"Cart-a",31
107,9780520224667,"found",9780520224667,"Cart-a",32
58,7800070433,"notfound",7800070433,"Cart-a",35
59,7226004976,"notfound",7226004976,"Cart-a",39
